Mass Error,Number of proteins,Avg Runtime,Number of true positives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005,30,0.652736614,12,9,10,7,9,8,9,10,16,12,9,11,15,12,8,5,7,14,10,11,9,12,9,13,3,9,12,12,8,10,10,12,14,10,11,10,10,8,12,4,8,10,7,9,10,9,10,14,13,12,9,13,5,6,9,9,8,12,12,14,8,10,12,12,10,13,13,6,13,13,9,13,10,12,9,9,8,12,7,10,10,10,14,9,8,14,10,14,10,9,8,12,12,9,16,7,7,7,12,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.006,30,0.994688656,5,14,11,9,9,12,7,5,7,3,7,8,11,12,12,7,12,11,9,7,8,9,9,7,4,8,7,9,10,9,6,11,8,9,3,10,16,9,12,8,6,10,9,10,6,11,12,8,13,11,5,9,10,9,9,10,12,6,15,8,4,9,8,9,7,7,8,11,8,11,9,15,8,9,7,9,4,5,10,8,9,11,5,7,7,5,11,10,9,9,12,8,6,10,6,8,9,11,11,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.007,30,0.641967661,4,8,5,6,10,7,7,9,6,7,5,7,5,7,6,6,8,3,6,7,7,8,7,11,5,5,6,9,5,6,9,6,10,11,6,9,5,6,6,6,7,6,7,6,11,8,7,7,9,12,9,5,3,8,9,7,6,4,9,12,7,6,2,11,5,8,12,8,6,9,12,3,11,8,8,4,9,5,9,7,10,8,11,9,5,10,7,11,8,9,12,6,8,9,10,5,10,8,12,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008,30,0.764178426,10,6,6,7,7,7,7,5,7,4,8,5,6,6,10,5,11,9,7,8,7,7,6,10,8,5,7,11,5,9,4,8,7,11,7,6,10,4,6,5,6,9,6,6,6,7,7,8,9,7,15,8,8,7,8,5,9,9,6,12,6,7,5,9,5,7,11,5,7,2,5,10,9,6,10,6,8,5,5,5,6,7,6,9,6,10,9,7,8,9,10,10,3,9,5,4,4,5,6,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.009,30,0.70038743,3,4,5,5,6,4,5,4,7,3,7,5,2,8,6,3,4,1,5,2,9,4,11,3,9,4,6,5,8,4,6,6,11,6,8,7,4,3,5,5,4,7,10,6,3,11,7,6,4,7,1,9,5,7,8,7,5,4,10,5,8,5,8,6,5,5,6,5,3,5,6,5,8,4,5,4,7,4,3,8,4,8,5,8,5,6,5,6,8,6,4,9,6,7,2,6,5,3,7,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,30,0.726607726,3,4,7,8,5,6,6,5,4,7,1,10,3,6,4,5,5,7,3,7,3,8,6,4,8,9,5,3,10,7,3,7,4,2,3,4,6,8,2,6,4,7,11,5,6,1,1,3,5,6,4,5,7,2,2,2,4,3,5,7,6,7,4,4,4,4,7,5,9,6,1,2,4,7,4,8,4,4,8,5,7,2,6,4,5,9,9,9,4,2,8,7,4,4,4,7,4,4,6,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
